Time            ,Cm                ,Cd                ,Cl                
250.0990013,-1.9379438711E-08,0.037436877543,-2.5628927693E-07
250.0993935,-1.9115998979E-08,0.037433955614,-2.5563172217E-07
250.0997857,-1.9021785391E-08,0.037431044492,-2.5519888199E-07
250.1001779,-1.8809419241E-08,0.037428144139,-2.5458985511E-07
250.1005701,-1.8426917529E-08,0.037425254506,-2.5371066022E-07
250.1009623,-1.8579670172E-08,0.037422375476,-2.5375952995E-07
250.1013546,-1.7758356854E-08,0.037419506965,-2.5205895699E-07
250.1017468,-1.8111934378E-08,0.037416648948,-2.5245279338E-07
250.102139,-1.7858382817E-08,0.037413801326,-2.5177251611E-07
250.1025312,-1.7156841213E-08,0.037410964036,-2.5030336659E-07
250.1029234,-1.7487133689E-08,0.037408137008,-2.5065085697E-07
250.1033156,-1.7069531049E-08,0.037405320172,-2.4966468993E-07
250.1037078,-1.6620601207E-08,0.037402513459,-2.4865825007E-07
250.1041,-1.6945056507E-08,0.037399716805,-2.4897493991E-07
250.1044922,-1.6128393423E-08,0.037396930141,-2.4729695585E-07
250.1048844,-1.6219789688E-08,0.037394153414,-2.4724717769E-07
250.1052766,-1.6082498794E-08,0.037391386517,-2.4672614416E-07
250.1056688,-1.5715116493E-08,0.037388629433,-2.4584338959E-07
250.106061,-1.5495582563E-08,0.037385882078,-2.4523217206E-07
250.1064532,-1.5212799974E-08,0.037383144387,-2.4445912712E-07
250.1068454,-1.5398065192E-08,0.037380416302,-2.4455405727E-07
250.1072376,-1.4488601027E-08,0.037377697759,-2.4271027609E-07
250.1076298,-1.504690342E-08,0.037374988707,-2.4345171373E-07
250.108022,-1.4298679062E-08,0.037372289045,-2.4186830509E-07
250.1084142,-1.4034503246E-08,0.037369598762,-2.4115181217E-07
250.1088064,-1.4390581477E-08,0.037366917776,-2.4153621969E-07
250.1091986,-1.3422795042E-08,0.037364246027,-2.3956662695E-07
250.1095908,-1.3903320295E-08,0.03736158346,-2.4017190177E-07
250.109983,-1.3242222469E-08,0.037358930016,-2.3874378185E-07
250.1103753,-1.3030788779E-08,0.037356285637,-2.3812760676E-07
250.1107675,-1.3096057963E-08,0.037353650264,-2.3796130641E-07
250.1111597,-1.2642764834E-08,0.037351023846,-2.3693458644E-07
250.1115519,-1.2444275754E-08,0.037348406334,-2.3632663423E-07
250.1119441,-1.2338229508E-08,0.03734579762,-2.358309664E-07
250.1123363,-1.2109053381E-08,0.037343197742,-2.3521907478E-07
250.1127285,-1.1674770062E-08,0.037340606583,-2.3418101334E-07
250.1131207,-1.1730153114E-08,0.037338024075,-2.3401261577E-07
250.1135129,-1.1530577559E-08,0.037335450212,-2.3338746408E-07
250.1139051,-1.090760154E-08,0.037332884914,-2.3203148752E-07
250.1142973,-1.1284015295E-08,0.037330328136,-2.3243422466E-07
250.1146895,-1.052564244E-08,0.037327779822,-2.308289337E-07
250.1150817,-1.0584035271E-08,0.037325239924,-2.3065315947E-07
250.1154739,-1.0556106138E-08,0.03732270839,-2.3035218247E-07
250.1158661,-9.7764374172E-09,0.037320185169,-2.2870129475E-07
250.1162583,-1.0002187473E-08,0.037317670223,-2.2885453056E-07
250.1166505,-9.9840409703E-09,0.037315163448,-2.2850175705E-07
250.1170427,-9.0627311909E-09,0.037312664902,-2.2666075317E-07
250.1174349,-9.5186748019E-09,0.037310174416,-2.2715722611E-07
250.1178271,-8.8806504159E-09,0.037307692022,-2.2577936595E-07
250.1182193,-8.9637616549E-09,0.037305217645,-2.2564034151E-07
250.1186115,-8.4086720084E-09,0.037302751237,-2.2438836695E-07
250.1190037,-8.7406796364E-09,0.037300292757,-2.2471341137E-07
